20%	11,200	12,800	14,400	16,000	17,280	18,560	19,840	21,120
25%	14,000	16,000	18,000	20,000	21,600	23,200	24,800	26,400
30%	16,800	19,200	21,600	24,000	25,920	27,840	29,760	31,680
35%	19,600	22,400	25,200	28,000	30,240	32,480	34,720	36,960
40%	22,400	25,600	28,800	32,000	34,560	37,120	39,680	42,240
45%	25,200	28,800	32,400	36,000	38,880	41,760	44,640	47,520
50%	28,000	32,000	36,000	40,000	43,200	46,400	49,600	52,800
55%	30,800	35,200	39,600	44,000	47,520	51,040	54,560	58,080
60%	33,600	38,400	43,200	48,000	51,840	55,680	59,520	63,360
70%	39,200	44,800	50,400	56,000	60,480	64,960	69,440	73,920
80%	44,800	51,200	57,600	64,000	69,120	74,240	79,360	84,480
100%	56,000	64,000	72,000	80,000	86,400	92,800	99,200	105,600
120%	67,200	76,800	86,400	96,000	103,680	111,360	119,040	126,720
125%	70,000	80,000	90,000	100,000	108,000	116,000	124,000	132,000
140%	78,400	89,600	100,800	112,000	120,960	129,920	138,880	147,840
150%	84,000	96,000	108,000	120,000	129,600	139,200	148,800	158,400
